time,area,life expectancy,gender
1991-1993,England,73.69,Males
1992-1994,England,74.02,Males
1993-1995,England,74.18,Males
1994-1996,England,74.44,Males
1995-1997,England,74.61,Males
1996-1998,England,74.84,Males
1997-1999,England,75.09,Males
1998-2000,England,75.38,Males
1999-2001,England,75.71,Males
2000-2002,England,76,Males
2001-2003,England,76.22,Males
2002-2004,England,76.52,Males
2003-2005,England,76.87,Males
2004-2006,England,77.28,Males
2005-2007,England,77.6,Males
2006-2008,England,77.87,Males
2007-2009,England,78.18,Males
2008-2010,England,78.5,Males
2009-2011,England,78.91,Males
2010-2012,England,79.21,Males
1991-1993,England,79.12,Females
1992-1994,England,79.37,Females
1993-1995,England,79.44,Females
1994-1996,England,79.64,Females
1995-1997,England,79.69,Females
1996-1998,England,79.84,Females
1997-1999,England,79.97,Females
1998-2000,England,80.19,Females
1999-2001,England,80.42,Females
2000-2002,England,80.66,Females
2001-2003,England,80.72,Females
2002-2004,England,80.9,Females
2003-2005,England,81.13,Females
2004-2006,England,81.53,Females
2005-2007,England,81.78,Females
2006-2008,England,81.98,Females
2007-2009,England,82.26,Females
2008-2010,England,82.51,Females
2009-2011,England,82.89,Females
2010-2012,England,83.01,Females
1991-1993,Wales,73.25,Males
1992-1994,Wales,73.44,Males
1993-1995,Wales,73.42,Males
1994-1996,Wales,73.72,Males
1995-1997,Wales,73.84,Males
1996-1998,Wales,74.22,Males
1997-1999,Wales,74.31,Males
1998-2000,Wales,74.6,Males
1999-2001,Wales,74.84,Males
2000-2002,Wales,75.31,Males
2001-2003,Wales,75.5,Males
2002-2004,Wales,75.8,Males
2003-2005,Wales,76.13,Males
2004-2006,Wales,76.63,Males
2005-2007,Wales,76.77,Males
2006-2008,Wales,76.97,Males
2007-2009,Wales,77.18,Males
2008-2010,Wales,77.62,Males
2009-2011,Wales,77.95,Males
2010-2012,Wales,78.2,Males
1991-1993,Wales,78.85,Females
1992-1994,Wales,79,Females
1993-1995,Wales,78.99,Females
1994-1996,Wales,79.15,Females
1995-1997,Wales,79.11,Females
1996-1998,Wales,79.3,Females
1997-1999,Wales,79.36,Females
1998-2000,Wales,79.6,Females
1999-2001,Wales,79.76,Females
2000-2002,Wales,80.04,Females
2001-2003,Wales,80.11,Females
2002-2004,Wales,80.29,Females
2003-2005,Wales,80.54,Females
2004-2006,Wales,80.96,Females
2005-2007,Wales,81.17,Females
2006-2008,Wales,81.34,Females
2007-2009,Wales,81.53,Females
2008-2010,Wales,81.78,Females
2009-2011,Wales,82.16,Females
2010-2012,Wales,82.22,Females
1991-1993,Scotland,71.47,Males
1992-1994,Scotland,71.7,Males
1993-1995,Scotland,71.87,Males
1994-1996,Scotland,72.1,Males
1995-1997,Scotland,72.26,Males
1996-1998,Scotland,72.43,Males
1997-1999,Scotland,72.66,Males
1998-2000,Scotland,72.86,Males
1999-2001,Scotland,73.12,Males
2000-2002,Scotland,73.34,Males
2001-2003,Scotland,73.5,Males
2002-2004,Scotland,73.77,Males
2003-2005,Scotland,74.23,Males
2004-2006,Scotland,74.63,Males
2005-2007,Scotland,74.85,Males
2006-2008,Scotland,75.07,Males
2007-2009,Scotland,75.43,Males
2008-2010,Scotland,75.9,Males
2009-2011,Scotland,76.32,Males
2010-2012,Scotland,76.61,Males
1991-1993,Scotland,77.17,Females
1992-1994,Scotland,77.35,Females
1993-1995,Scotland,77.47,Females
1994-1996,Scotland,77.77,Females
1995-1997,Scotland,77.9,Females
1996-1998,Scotland,78.06,Females
1997-1999,Scotland,78.19,Females
1998-2000,Scotland,78.36,Females
1999-2001,Scotland,78.58,Females
2000-2002,Scotland,78.8,Females
2001-2003,Scotland,78.84,Females
2002-2004,Scotland,78.99,Females
2003-2005,Scotland,79.19,Females
2004-2006,Scotland,79.54,Females
2005-2007,Scotland,79.72,Females
2006-2008,Scotland,79.89,Females
2007-2009,Scotland,80.13,Females
2008-2010,Scotland,80.41,Females
2009-2011,Scotland,80.73,Females
2010-2012,Scotland,80.83,Females
1991-1993,N.Ireland,72.73,Males
1992-1994,N.Ireland,73,Males
1993-1995,N.Ireland,73.12,Males
1994-1996,N.Ireland,73.53,Males
1995-1997,N.Ireland,73.86,Males
1996-1998,N.Ireland,74.19,Males
1997-1999,N.Ireland,74.29,Males
1998-2000,N.Ireland,74.49,Males
1999-2001,N.Ireland,74.81,Males
2000-2002,N.Ireland,75.25,Males
2001-2003,N.Ireland,75.59,Males
2002-2004,N.Ireland,75.86,Males
2003-2005,N.Ireland,76.05,Males
2004-2006,N.Ireland,76.16,Males
2005-2007,N.Ireland,76.23,Males
2006-2008,N.Ireland,76.41,Males
2007-2009,N.Ireland,76.77,Males
2008-2010,N.Ireland,77.09,Males
2009-2011,N.Ireland,77.56,Males
2010-2012,N.Ireland,77.82,Males
1991-1993,N.Ireland,78.69,Females
1992-1994,N.Ireland,78.8,Females
1993-1995,N.Ireland,78.75,Females
1994-1996,N.Ireland,79.03,Females
1995-1997,N.Ireland,79.26,Females
1996-1998,N.Ireland,79.55,Females
1997-1999,N.Ireland,79.5,Females
1998-2000,N.Ireland,79.57,Females
1999-2001,N.Ireland,79.77,Females
2000-2002,N.Ireland,80.17,Females
2001-2003,N.Ireland,80.46,Females
2002-2004,N.Ireland,80.59,Females
2003-2005,N.Ireland,80.89,Females
2004-2006,N.Ireland,81.06,Females
2005-2007,N.Ireland,81.3,Females
2006-2008,N.Ireland,81.3,Females
2007-2009,N.Ireland,81.45,Females
2008-2010,N.Ireland,81.58,Females
2009-2011,N.Ireland,82.03,Females
2010-2012,N.Ireland,82.28,Females
