"mouseID","Sex","Genotype","Age","ID","BW.gram","FatTissue.percent","GLU.mg.dL"
"F_+/+_16_1","F","+/+",16,1,29.98,20,162
"F_+/+_16_2","F","+/+",16,2,20.03,20.4,170
"F_+/+_16_3","F","+/+",16,3,21.94,25.2,155
"F_+/+_16_4","F","+/+",16,4,21.6,20,181
"F_+/+_8_1","F","+/+",8,1,19.55,22.9,135
"F_+/+_8_2","F","+/+",8,2,17.38,22,146
"F_+/+_8_3","F","+/+",8,3,19.67,26,152
"F_+/+_8_4","F","+/+",8,4,18.1,25.2,153
"F_+/+_8_5","F","+/+",8,5,16.04,21.5,144
"F_db/+_16_1","F","db/+",16,1,26.3,33.4,159
"F_db/+_16_2","F","db/+",16,2,25.9,30.6,183
"F_db/+_16_3","F","db/+",16,3,30.18,39.2,187
"F_db/+_16_4","F","db/+",16,4,28.25,34.6,191
"F_db/+_8_1","F","db/+",8,1,21.26,26.6,131
"F_db/+_8_2","F","db/+",8,2,23.2,33,172
"F_db/db_16_1","F","db/db",16,1,57.09,63.1,876
"F_db/db_16_10","F","db/db",16,10,61.14,63.3,669
"F_db/db_16_2","F","db/db",16,2,49.07,69.2,830
"F_db/db_16_3","F","db/db",16,3,55.31,64.7,785
"F_db/db_16_4","F","db/db",16,4,56.39,63.2,852
"F_db/db_16_5","F","db/db",16,5,49.24,63.2,706
"F_db/db_16_6","F","db/db",16,6,57.8,71.1,720
"F_db/db_16_7","F","db/db",16,7,53.65,62.7,847
"F_db/db_16_8","F","db/db",16,8,61.97,67,595
"F_db/db_16_9","F","db/db",16,9,51.7,63.7,801
"F_db/db_8_1","F","db/db",8,1,41.98,57.7,615
"F_db/db_8_10","F","db/db",8,10,33.66,54.8,487
"F_db/db_8_2","F","db/db",8,2,41.09,56.8,425
"F_db/db_8_3","F","db/db",8,3,40.79,53.5,670
"F_db/db_8_4","F","db/db",8,4,41.73,60.1,617
"F_db/db_8_5","F","db/db",8,5,42.36,55.1,681
"F_db/db_8_6","F","db/db",8,6,40.37,55.4,557
"F_db/db_8_7","F","db/db",8,7,39.82,57.8,623
"F_db/db_8_8","F","db/db",8,8,37.66,56.2,604
"F_db/db_8_9","F","db/db",8,9,41.97,57.3,438
"M_+/+_16_1","M","+/+",16,1,27.77,23.1,212
"M_+/+_16_2","M","+/+",16,2,30.93,30.1,233
"M_+/+_16_3","M","+/+",16,3,29.28,26.7,201
"M_+/+_16_4","M","+/+",16,4,26.57,25,224
"M_+/+_16_5","M","+/+",16,5,29.65,28.1,237
"M_+/+_8_1","M","+/+",8,1,22.49,20.9,190
"M_+/+_8_2","M","+/+",8,2,23.45,23.2,206
"M_+/+_8_3","M","+/+",8,3,24.84,22.5,186
"M_+/+_8_4","M","+/+",8,4,23.2,23,212
"M_+/+_8_5","M","+/+",8,5,23.26,20.7,194
"M_db/+_16_1","M","db/+",16,1,35.79,31.3,237
"M_db/+_16_2","M","db/+",16,2,35.24,29.1,225
"M_db/+_16_3","M","db/+",16,3,29.71,30,227
"M_db/+_16_4","M","db/+",16,4,30.81,29.7,234
"M_db/+_8_1","M","db/+",8,1,25.74,26.7,202
"M_db/+_8_2","M","db/+",8,2,28.85,30.5,230
"M_db/+_8_3","M","db/+",8,3,29.92,26.4,181
"M_db/+_8_4","M","db/+",8,4,28.66,30,221
"M_db/+_8_5","M","db/+",8,5,29.05,31.2,204
"M_db/db_16_1","M","db/db",16,1,51.53,59.7,657
"M_db/db_16_10","M","db/db",16,10,58.89,64.2,827
"M_db/db_16_2","M","db/db",16,2,54.22,62.9,669
"M_db/db_16_3","M","db/db",16,3,43.98,58.9,831
"M_db/db_16_4","M","db/db",16,4,51.84,63.8,733
"M_db/db_16_5","M","db/db",16,5,56.38,64.8,746
"M_db/db_16_6","M","db/db",16,6,54.34,67.5,653
"M_db/db_16_7","M","db/db",16,7,56.7,65.8,665
"M_db/db_16_8","M","db/db",16,8,54.16,64.5,778
"M_db/db_16_9","M","db/db",16,9,52.77,64.4,866
"M_db/db_8_1","M","db/db",8,1,39.21,56.1,531
"M_db/db_8_10","M","db/db",8,10,37.78,54.3,616
"M_db/db_8_2","M","db/db",8,2,39.36,56.9,606
"M_db/db_8_3","M","db/db",8,3,39.93,58.1,573
"M_db/db_8_4","M","db/db",8,4,42.16,53.4,603
"M_db/db_8_5","M","db/db",8,5,40.17,60.9,538
"M_db/db_8_6","M","db/db",8,6,39.3,58.4,550
"M_db/db_8_7","M","db/db",8,7,42.74,54.7,662
"M_db/db_8_8","M","db/db",8,8,41.47,54,622
"M_db/db_8_9","M","db/db",8,9,38.51,55.4,556
