Sex,Genotype,Age,ID,GLU mg/dL
F,db/db,8,1,615
F,db/db,8,2,425
F,db/db,8,3,670
F,db/db,8,4,617
F,db/db,8,5,681
F,db/db,8,6,557
F,db/db,8,7,623
F,db/db,8,8,604
F,db/db,8,9,438
F,db/db,8,10,487
F,db/db,8,11,415
F,db/db,8,12,553
F,db/db,8,13,490
F,db/db,8,14,521
F,db/db,8,15,668
F,db/db,8,16,524
F,db/db,8,17,550
F,db/db,8,18,488
M,db/db,8,1,531
M,db/db,8,2,606
M,db/db,8,3,573
M,db/db,8,4,603
M,db/db,8,5,538
M,db/db,8,6,550
M,db/db,8,7,662
M,db/db,8,8,622
M,db/db,8,9,556
M,db/db,8,10,616
M,db/db,8,11,597
M,db/db,8,12,509
M,db/db,8,13,367
M,db/db,8,14,597
M,db/db,8,15,620
M,db/db,8,16,485
M,db/db,8,17,656
M,db/db,8,18,523
M,db/db,8,19,492
M,db/db,8,20,501
F,db/+,8,1,131
F,db/+,8,2,172
F,db/+,8,3,191
F,db/+,8,4,167
F,db/+,8,5,160
F,db/+,8,6,170
F,db/+,8,7,180
F,db/+,8,8,177
F,db/+,8,9,159
F,db/+,8,10,162
M,db/+,8,1,202
M,db/+,8,2,230
M,db/+,8,3,181
M,db/+,8,4,221
M,db/+,8,5,204
M,db/+,8,6,117
M,db/+,8,7,147
M,db/+,8,8,145
M,db/+,8,9,134
F,+/+,8,1,135
F,+/+,8,2,146
F,+/+,8,3,152
F,+/+,8,4,153
F,+/+,8,5,144
F,+/+,8,6,192
F,+/+,8,7,165
F,+/+,8,8,177
F,+/+,8,9,145
F,+/+,8,10,181
M,+/+,8,1,190
M,+/+,8,2,206
M,+/+,8,3,186
M,+/+,8,4,212
M,+/+,8,5,194
M,+/+,8,6,218
M,+/+,8,7,145
M,+/+,8,8,184
M,+/+,8,9,192
F,db/db,16,1,876
F,db/db,16,2,830
F,db/db,16,3,785
F,db/db,16,4,852
F,db/db,16,5,706
F,db/db,16,6,720
F,db/db,16,7,847
F,db/db,16,8,595
F,db/db,16,9,801
F,db/db,16,10,669
F,db/db,16,11,759
F,db/db,16,12,676
F,db/db,16,13,925
F,db/db,16,14,771
F,db/db,16,15,664
F,db/db,16,16,725
F,db/db,16,17,524
F,db/db,16,18,760
F,db/db,16,19,686
F,db/db,16,20,875
M,db/db,16,1,657
M,db/db,16,2,669
M,db/db,16,3,831
M,db/db,16,4,733
M,db/db,16,5,746
M,db/db,16,6,653
M,db/db,16,7,665
M,db/db,16,8,778
M,db/db,16,9,866
M,db/db,16,10,827
M,db/db,16,11,861
M,db/db,16,12,717
M,db/db,16,13,638
M,db/db,16,14,763
M,db/db,16,15,875
M,db/db,16,16,764
M,db/db,16,17,705
M,db/db,16,18,794
M,db/db,16,19,784
F,db/+,16,1,159
F,db/+,16,2,183
F,db/+,16,3,187
F,db/+,16,4,191
F,db/+,16,5,215
F,db/+,16,6,148
F,db/+,16,7,154
F,db/+,16,8,162
F,db/+,16,9,153
M,db/+,16,1,237
M,db/+,16,2,225
M,db/+,16,3,227
M,db/+,16,4,234
M,db/+,16,5,154
M,db/+,16,6,123
M,db/+,16,7,210
M,db/+,16,8,209
M,db/+,16,9,193
F,+/+,16,1,162
F,+/+,16,2,170
F,+/+,16,3,155
F,+/+,16,4,181
F,+/+,16,5,151
F,+/+,16,6,148
F,+/+,16,7,171
F,+/+,16,8,159
F,+/+,16,9,176
M,+/+,16,1,212
M,+/+,16,2,233
M,+/+,16,3,201
M,+/+,16,4,224
M,+/+,16,5,237
M,+/+,16,6,144
M,+/+,16,7,222
M,+/+,16,8,191
M,+/+,16,9,160
M,+/+,16,10,188
