Sex,Genotype,Age,Mouse #,BW (g)- Scale,% Fat Tissue
F,db/db,8,1,41.98,57.7
F,db/db,8,2,41.09,56.8
F,db/db,8,3,40.79,53.5
F,db/db,8,4,41.73,60.1
F,db/db,8,5,42.36,55.1
F,db/db,8,6,40.37,55.4
F,db/db,8,7,39.82,57.8
F,db/db,8,8,37.66,56.2
F,db/db,8,9,41.97,57.3
F,db/db,8,10,33.66,54.8
M,db/db,8,1,39.21,56.1
M,db/db,8,2,39.36,56.9
M,db/db,8,3,39.93,58.1
M,db/db,8,4,42.16,53.4
M,db/db,8,5,40.17,60.9
M,db/db,8,6,39.3,58.4
M,db/db,8,7,42.74,54.7
M,db/db,8,8,41.47,54
M,db/db,8,9,38.51,55.4
M,db/db,8,10,37.78,54.3
F,db/+,8,1,21.26,26.6
F,db/+,8,2,23.2,33
F,db/+,8,3,,26.7
F,db/+,8,4,,25.5
F,db/+,8,5,,26
M,db/+,8,1,25.74,26.7
M,db/+,8,2,28.85,30.5
M,db/+,8,3,29.92,26.4
M,db/+,8,4,28.66,30
M,db/+,8,5,29.05,31.2
F,+/+,8,1,19.55,22.9
F,+/+,8,2,17.38,22
F,+/+,8,3,19.67,26
F,+/+,8,4,18.1,25.2
F,+/+,8,5,16.04,21.5
M,+/+,8,1,22.49,20.9
M,+/+,8,2,23.45,23.2
M,+/+,8,3,24.84,22.5
M,+/+,8,4,23.2,23
M,+/+,8,5,23.26,20.7
F,db/db,16,1,57.09,63.1
F,db/db,16,2,49.07,69.2
F,db/db,16,3,55.31,64.7
F,db/db,16,4,56.39,63.2
F,db/db,16,5,49.24,63.2
F,db/db,16,6,57.8,71.1
F,db/db,16,7,53.65,62.7
F,db/db,16,8,61.97,67
F,db/db,16,9,51.7,63.7
F,db/db,16,10,61.14,63.3
M,db/db,16,1,51.53,59.7
M,db/db,16,2,54.22,62.9
M,db/db,16,3,43.98,58.9
M,db/db,16,4,51.84,63.8
M,db/db,16,5,56.38,64.8
M,db/db,16,6,54.34,67.5
M,db/db,16,7,56.7,65.8
M,db/db,16,8,54.16,64.5
M,db/db,16,9,52.77,64.4
M,db/db,16,10,58.89,64.2
F,db/+,16,1,26.3,33.4
F,db/+,16,2,25.9,30.6
F,db/+,16,3,30.18,39.2
F,db/+,16,4,28.25,34.6
M,db/+,16,1,35.79,31.3
M,db/+,16,2,35.24,29.1
M,db/+,16,3,29.71,30
M,db/+,16,4,30.81,29.7
F,+/+,16,1,29.98,20
F,+/+,16,2,20.03,20.4
F,+/+,16,3,21.94,25.2
F,+/+,16,4,21.6,20
M,+/+,16,1,27.77,23.1
M,+/+,16,2,30.93,30.1
M,+/+,16,3,29.28,26.7
M,+/+,16,4,26.57,25
M,+/+,16,5,29.65,28.1
